Seller Name,RapNet Account ID,Name Code,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,Fluorescence Intensity,Lab,Certificate Number,Stock Number,Price Per Carat,Price Percentage,Total Price,Cash Price Per Carat,Cash Price Percentage,Total Cash Price,State,Country,Certificate URL,Image URL,Diamond ID
SUPERGEMS NV,21343,Supergem,Round,1.530,F,VS2,Excellent,Excellent,Excellent,None,GIA,3235083073,500002304,,,,9204.0000,-0.2200,14082.1200,,Belgium,http://www.supergemsgroup.com/certificates/500002304.jpg,http://www.supergemsgroup.com/diamondphoto/500002304-P.jpg,73563189
SUPERGEMS NV,21343,Supergem,Round,1.530,I,VS1,Excellent,Excellent,Excellent,None,GIA,2237162839,100124352,,,,6150.0000,-0.2500,9409.5000,,Belgium,http://www.supergemsgroup.com/certificates/100124352.jpg,http://www.supergemsgroup.com/diamondphoto/100124352-P.jpg,73563190
SUPERGEMS NV,21343,Supergem,Round,1.700,E,SI1,Excellent,Excellent,Excellent,Medium,GIA,2237083178,500002302,,,,7035.0000,-0.3300,11959.5000,,Belgium,http://www.supergemsgroup.com/certificates/500002302.jpg,http://www.supergemsgroup.com/diamondphoto/500002302-P.jpg,73563191
SUPERGEMS NV,21343,Supergem,Round,0.700,D,VS1,Excellent,Excellent,Excellent,None,GIA,1239179586,500002353,,,,4514.0000,-0.2600,3159.8000,,Belgium,http://www.supergemsgroup.com/certificates/500002353.jpg,http://www.supergemsgroup.com/diamondphoto/500002353-P.jpg,73563057
SUPERGEMS NV,21343,Supergem,Round,0.700,D,SI2,Very Good,Excellent,Very Good,None,GIA,1239180053,500002362,,,,3024.0000,-0.2800,2116.8000,,Belgium,http://www.supergemsgroup.com/certificates/500002362.jpg,http://www.supergemsgroup.com/diamondphoto/500002362-P.jpg,73563058
SUPERGEMS NV,21343,Supergem,Round,0.700,E,VVS2,Very Good,Excellent,Excellent,Faint,GIA,5236083909,500002250,,,,3654.0000,-0.4200,2557.8000,,Belgium,http://www.supergemsgroup.com/certificates/500002250.jpg,http://www.supergemsgroup.com/diamondphoto/500002250-P.jpg,73563059
SUPERGEMS NV,21343,Supergem,Round,0.700,E,VS1,Excellent,Excellent,Excellent,None,GIA,5236135501,500002338,,,,4350.0000,-0.2500,3045.0000,,Belgium,http://www.supergemsgroup.com/certificates/500002338.jpg,http://www.supergemsgroup.com/diamondphoto/500002338-P.jpg,73563061
SUPERGEMS NV,21343,Supergem,Round,0.700,E,SI1,Very Good,Excellent,Excellent,None,GIA,6232094064,500002216,,,,3149.0000,-0.3300,2204.3000,,Belgium,http://www.supergemsgroup.com/certificates/500002216.jpg,http://www.supergemsgroup.com/diamondphoto/500002216-P.jpg,73563062
SUPERGEMS NV,21343,Supergem,Round,0.700,G,VVS2,Excellent,Excellent,Excellent,None,GIA,7233085074,500002227,,,,3796.0000,-0.2700,2657.2000,,Belgium,http://www.supergemsgroup.com/certificates/500002227.jpg,http://www.supergemsgroup.com/diamondphoto/500002227-P.jpg,73563063
SUPERGEMS NV,21343,Supergem,Round,0.700,G,VS1,Excellent,Excellent,Excellent,Faint,GIA,1235149084,500002253,,,,3528.0000,-0.2800,2469.6000,,Belgium,http://www.supergemsgroup.com/certificates/500002253.jpg,http://www.supergemsgroup.com/diamondphoto/500002253-P.jpg,73563064
SUPERGEMS NV,21343,Supergem,Round,0.700,H,SI2,Very Good,Excellent,Excellent,None,GIA,1238133899,500002333,,,,2277.0000,-0.3100,1593.9000,,Belgium,http://www.supergemsgroup.com/certificates/500002333.jpg,http://www.supergemsgroup.com/diamondphoto/500002333-P.jpg,73563066
SUPERGEMS NV,21343,Supergem,Round,0.710,F,VS1,Very Good,Excellent,Excellent,Strong,GIA,1235096230,500002214,,,,3074.0000,-0.4200,2182.5400,,Belgium,http://www.supergemsgroup.com/certificates/500002214.jpg,http://www.supergemsgroup.com/diamondphoto/500002214-P.jpg,73563075
SUPERGEMS NV,21343,Supergem,Round,0.750,E,VS1,Excellent,Excellent,Excellent,None,GIA,5233179773,500002368,,,,4408.0000,-0.2400,3306.0000,,Belgium,http://www.supergemsgroup.com/certificates/500002368.jpg,http://www.supergemsgroup.com/diamondphoto/500002368-P.jpg,73563093
SUPERGEMS NV,21343,Supergem,Round,0.750,F,VS2,Excellent,Excellent,Excellent,None,GIA,2236144488,500002330,,,,4050.0000,-0.1900,3037.5000,,Belgium,http://www.supergemsgroup.com/certificates/500002330.jpg,http://www.supergemsgroup.com/diamondphoto/500002330-P.jpg,73563095
SUPERGEMS NV,21343,Supergem,Round,0.800,F,VS1,Excellent,Excellent,Excellent,None,GIA,6232179934,500002357,,,,4611.0000,-0.1300,3688.8000,,Belgium,http://www.supergemsgroup.com/certificates/500002357.jpg,http://www.supergemsgroup.com/diamondphoto/500002357-P.jpg,73563106
